,zip1,zip1_value,zip2,zip2_value
506,10310,27.0,11204,27.0
507,10310,46.0,10312,187.0
508,10310,25.0,11369,57.0
509,10310,14.0,11221,11.0
510,10310,18.0,11411,15.0
511,10310,1.0,11203,3.0
512,10310,55.0,11208,42.0
513,10310,10.0,11371,101.0
514,10310,26.0,11414,46.0
515,10310,34.0,11375,368.0
516,10310,44.0,83,238.0
517,10310,34.0,10027,123.0
518,10310,70.0,10036,590.0
519,10310,35.0,10461,133.0
520,10310,0.0,10167,0.0
521,10310,62.0,10017,546.0
522,10310,34.0,11101,398.0
523,10310,11.0,10035,312.0
524,10310,96.0,10016,291.0
525,10310,129.0,10001,1627.0
526,10310,142.0,10019,689.0
527,10310,26.0,10032,479.0
528,10310,103.0,10065,291.0
529,10310,41.0,10020,301.0
530,10310,11.0,10453,43.0
531,10310,16.0,11416,16.0
532,10310,43.0,10024,128.0
533,10310,31.0,10026,28.0
534,10310,12.0,11213,41.0
535,10310,65.0,10023,376.0
536,10310,43.0,10018,298.0
537,10310,93.0,10309,109.0
538,10310,0.0,10174,0.0
539,10310,76.0,10021,149.0
540,10310,22.0,11236,132.0
541,10310,37.0,11106,37.0
542,10310,0.0,10097,0.0
543,10310,58.0,10014,230.0
544,10310,66.0,10011,378.0
545,10310,32.0,11366,62.0
546,10310,42.0,10012,248.0
547,10310,169.0,10007,1944.0
548,10310,105.0,10003,535.0
549,10310,39.0,11211,437.0
550,10310,43.0,10002,174.0
551,10310,34.0,10029,84.0
552,10310,12.0,10048,13.0
553,10310,34.0,11216,82.0
554,10310,71.0,11217,299.0
555,10310,33.0,11222,157.0
556,10310,40.0,11226,524.0
557,10310,35.0,10038,203.0
558,10310,44.0,10022,405.0
559,10310,113.0,11215,253.0
560,10310,11.0,10468,49.0
561,10310,69.0,10013,375.0
562,10310,37.0,10005,99.0
563,10310,1.0,11040,1.0
564,10310,56.0,11385,148.0
565,10310,32.0,10033,230.0
566,10310,149.0,10004,153.0
567,10310,19.0,11378,313.0
568,10310,17.0,10452,124.0
569,10310,40.0,11201,620.0
570,10310,11.0,10474,7.0
571,10310,40.0,10010,277.0
572,10310,34.0,11238,80.0
573,10310,33.0,10006,121.0
574,10310,15.0,10040,29.0
575,10310,11.0,10455,27.0
576,10310,73.0,10306,100.0
577,10310,85.0,10009,70.0
578,10310,75.0,10128,230.0
579,10310,11.0,10459,71.0
580,10310,21.0,11355,80.0
581,10310,19.0,10465,243.0
582,10310,34.0,10462,558.0
583,10310,19.0,10451,222.0
584,10310,36.0,10025,221.0
585,10310,33.0,11229,104.0
586,10310,11.0,10282,6.0
587,10310,18.0,11370,76.0
588,10310,35.0,10031,70.0
589,10310,26.0,10034,95.0
590,10310,34.0,11235,91.0
591,10310,12.0,11367,390.0
592,10310,74.0,10028,202.0
593,10310,13.0,11426,54.0
594,10310,10.0,10457,52.0
595,10310,33.0,11102,123.0
596,10310,0.0,11109,0.0
597,10310,63.0,11234,95.0
598,10310,27.0,11435,428.0
599,10310,22.0,11354,159.0
600,10310,34.0,10281,51.0
601,10310,10.0,11433,48.0
602,10310,16.0,10472,174.0
603,10310,20.0,11231,149.0
604,10310,16.0,10069,15.0
605,10310,10.0,10030,7.0
606,10310,10.0,10456,10.0
607,10310,27.0,11205,82.0
608,10310,87.0,10305,548.0
609,10310,11.0,10469,16.0
610,10310,29.0,11220,312.0
611,10310,17.0,11415,26.0
612,10310,11.0,11364,93.0
613,10310,12.0,11230,10.0
614,10310,18.0,11434,36.0
615,10310,17.0,10460,208.0
616,10310,32.0,10463,151.0
617,10310,54.0,10280,9.0
618,10310,35.0,10075,99.0
619,10310,27.0,11379,38.0
620,10310,0.0,10260,0.0
621,10310,20.0,11422,41.0
622,10310,35.0,11103,96.0
623,10310,30.0,11210,81.0
624,10310,25.0,10044,44.0
625,10310,14.0,11362,71.0
626,10310,12.0,10471,97.0
627,10310,33.0,10458,43.0
628,10310,31.0,11365,131.0
629,10310,17.0,11693,18.0
630,10310,21.0,11418,20.0
631,10310,17.0,11218,50.0
632,10310,18.0,10467,63.0
633,10310,21.0,10308,28.0
634,10310,13.0,10111,6.0
635,10310,36.0,11105,65.0
636,10310,19.0,11219,24.0
637,10310,6.0,10275,2.0
638,10310,15.0,10118,40.0
639,10310,11.0,10466,35.0
640,10310,21.0,11239,25.0
641,10310,16.0,10169,17.0
642,10310,19.0,11420,27.0
643,10310,0.0,10153,0.0
644,10310,32.0,10307,52.0
645,10310,0.0,10165,0.0
646,10310,39.0,10303,297.0
647,10310,20.0,11357,65.0
648,10310,296.0,10302,44.0
649,10310,17.0,11429,59.0
